id,name,partner_id,brand_id,description_sale,description_purchase,product_main_code,active,product_sub_code,partner_barcode,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,uom_so_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
product_2249628,เทสโก้ ออแกไนเซอร์B5 70g 80s CHดำแดง,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,,2249628,TRUE,,8851419013769,TRUE,FALSE,Stockable Product,Make to Stock,Buy,177,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,หีบ/6,,,,,1*6,,Real Time (automated),,,
product_2249629,เทสโก้ ออแกไนเซอร์B5 70g 80s NVดำชมพู,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,,2249629,TRUE,,8851419013776,TRUE,FALSE,Stockable Product,Make to Stock,Buy,177,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,หีบ/6,,,,,1*6,,Real Time (automated),,,
product_2249630,เทสโก้ ออแกไนเซอร์B5 70g 80s FRดำฟ้า,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด,,,,2249630,TRUE,,8851419013783,TRUE,FALSE,Stockable Product,Make to Stock,Buy,177,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,หีบ/6,,,,,1*6,,Real Time (automated),,,
product_N-AF10,สมุดปกภาพ 60แกรม 9/46แผ่น AF-10,,,,,N-AF10,TRUE,,8851419008369,TRUE,FALSE,Stockable Product,Make to Stock,Buy,6.0833333333,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,โหล,16*23.5,,,,1*12,,Real Time (automated),,,
product_N-AF10-1,สมุดปกอ่อน ตัด9 46 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-AF10,TRUE,,8857121670702,TRUE,FALSE,Stockable Product,Make to Stock,Buy,5,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,เล่ม,16*23.5,60,46,,1*1,,Real Time (automated),,,
product_N-AF5,สมุดปกภาพ 60แกรม 9/18แผ่น AF-5,,,,,N-AF5,TRUE,,8851419008345,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2.9652777778,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,กุรุส,16*23.5,,,,1*24,,Real Time (automated),,,
product_N-AF5-1,สมุดปกภาพ 9/18 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-AF5,TRUE,,8857121670023,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2.72,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,เล่ม,16*23.5,60,18,,1*1,,Real Time (automated),,,
product_N-BV-2706,สมุดปกแข็งสันตรง 60แกรม 2/70แผ่น BV-2706 ลายพื้นสี,,,,,N-BV-2706,TRUE,,8851419007317,TRUE,FALSE,Stockable Product,Make to Stock,Buy,25.4166666667,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,โหล,19*31,,,,1*6,,Real Time (automated),,,
product_N-BV-2706-1,สมุดปกแข็งสันตรง 60g 2/70 แผ่น ลายพื้นสี,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-BV-2706,TRUE,,8857121670153,TRUE,FALSE,Stockable Product,Make to Stock,Buy,21.5,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,เล่ม,19*31,60,70,,1*1,,Real Time (automated),,,
product_N-DR-A5,สมุดไดอารี่ A5,,,,,N-DR-A5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,95,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,,,,,,Real Time (automated),,,
product_N-DR-A5-1,สมุดโน๊ต A5,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-DR-A5,TRUE,,8857121670900,TRUE,FALSE,Stockable Product,Make to Stock,Buy,78,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,,,,1*1,,Real Time (automated),,,
product_N-DR-A5ORG,สมุดริมห่วง A5 (Organizer),,,,,N-DR-A5ORG,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,285,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,,,,,,Real Time (automated),,,
product_N-DR-A5ORG-1,ออแกไนเซอร์ A5 80g 240 หน้า,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-DR-A5ORG,TRUE,,8857121670870,TRUE,FALSE,Stockable Product,Make to Stock,Buy,230,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,80,120,,1*1,,Real Time (automated),,,
product_N-DR-B5,สมุดไดอารี่ ตัด8,,,,,N-DR-B5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,120,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,,,,,,Real Time (automated),,,
product_N-DR-B5-1,สมุดโน๊ต No.8,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-DR-B5,TRUE,,8857121670894,TRUE,FALSE,Stockable Product,Make to Stock,Buy,95,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,,,,1*1,,Real Time (automated),,,
product_N-DR-B6ORG,สมุดริมห่วง B6 (Organizer),,,,,N-DR-B6ORG,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,250,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,,,,,,Real Time (automated),,,
product_N-DR-B6ORG-1,ออแกไนเซอร์ B6 80g 240 หน้า,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-DR-B6ORG,TRUE,,8857121670887,TRUE,FALSE,Stockable Product,Make to Stock,Buy,200,Standard Price,0,0,สมุดไดอารี่,เล่ม,เล่ม,เล่ม,,80,120,,1*1,,Real Time (automated),,,
product_N-F8306,สมุดปกภาพ 60แกรม 8/30แผ่น F-8306,,,,,N-F8306,TRUE,,8851419007881,TRUE,FALSE,Stockable Product,Make to Stock,Buy,6.4166666667,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,โหล,18.5*26,,,,1*12,,Real Time (automated),,,
product_N-F8306-1,สมุดปกอ่อนเย็บลวด ตัด8 30 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-F8306,TRUE,,8857121670719,TRUE,FALSE,Stockable Product,Make to Stock,Buy,5.3,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,เล่ม,18.5*26,60,30,,1*1,,Real Time (automated),,,
product_N-FA6306,สมุดปกอ่อน 60แกรม A6/30แผ่น F-A6306,,,,,N-FA6306,TRUE,,8851419008949,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2.9513888889,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,กุรุส,10.5*14.8,,,,1*24,,Real Time (automated),,,
product_N-FA6306-1,สมุดปกภาพ A6/30 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-FA6306,TRUE,,8857121670245,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2.45,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,เล่ม,14.85*21,70,100,,1*1,,Real Time (automated),,,
product_N-FA7306,สมุดปกอ่อน 60แกรม A7/30แผ่น F-A7306,,,,,N-FA7306,TRUE,,8851419008956,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1.7361111111,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,กุรุส,7.4*10.5,,,,1*24,,Real Time (automated),,,
product_N-FA7306-1,สมุดปกภาพ A7/30 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-FA7306,TRUE,,8857121670252,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1.52,Standard Price,0,0,สมุดปกแฟนซีเย็บลวด,เล่ม,เล่ม,เล่ม,7.4*10.5,60,30,,1*1,,Real Time (automated),,,
product_N-GNB-B5407,สมุดปกอ่อนสันกาวตัด8 70แกรม 8/40แผ่น GNB-B5407,,,,,N-GNB-B5407,TRUE,,8891389300633,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.8333333333,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,โหล,17.9*25.2,,,,1*6,,Real Time (automated),,,
product_N-GNB-B5407-1,สมุดปกอ่อนสันกาว 70g 8/40 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-GNB-B5407,TRUE,,8859070300099,TRUE,FALSE,Stockable Product,Make to Stock,Buy,7.5,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,,70,40,,1*1,,Real Time (automated),,,
product_N-HV-121006,สมุดปกแข็ง 60แกรม 12/100แผ่น HV-121006,,,,,N-HV-121006,TRUE,,8851419008185,TRUE,FALSE,Stockable Product,Make to Stock,Buy,25,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,โหล,12.5*26.5,,,,1*12,,Real Time (automated),,,
product_N-HV-121006-1,สมุดปกแข็ง 60g 12/100 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-HV-121006,TRUE,,8859070300105,TRUE,FALSE,Stockable Product,Make to Stock,Buy,20.3,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,เล่ม,,60,100,,1*1,,Real Time (automated),,,
product_N-HV-201006,สมุดปกแข็ง 60แกรม 20/100แผ่น HV-201006,,,,,N-HV-201006,TRUE,,8851419008178,TRUE,FALSE,Stockable Product,Make to Stock,Buy,20,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,โหล,9.5*21,,,,1*12,,Real Time (automated),,,
product_N-HV-201006-1,สมุดปกแข็ง 60g 20/100  แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-HV-201006,TRUE,,8859070300112,TRUE,FALSE,Stockable Product,Make to Stock,Buy,16.9,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,เล่ม,,60,100,,1*1,,Real Time (automated),,,
product_N-HV-51007,สมุดปกแข็งสันตรง 70แกรม 5/100แผ่น HV-51007 ลายเพชร,,,,,N-HV-51007,TRUE,,8851419007300,TRUE,FALSE,Stockable Product,Make to Stock,Buy,47.5,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,โหล,21.5*33,,,,1*3,,Real Time (automated),,,
product_N-HV-51007-1,สมุดปกแข็งสันตรง 70g 5/100 แผ่น ลายเพชร,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-HV-51007,TRUE,,8857121670160,TRUE,FALSE,Stockable Product,Make to Stock,Buy,37,Standard Price,0,0,สมุดปกแข็งสันตรง/สันโค้ง,เล่ม,เล่ม,เล่ม,21.5*33,70,100,,1*1,,Real Time (automated),,,
product_N-HVDW-A51007,สมุดปกแข็งสันห่วง A5 70แกรม 100แผ่น HVDW-A51007,,,,,N-HVDW-A51007,TRUE,,8851419008819,TRUE,FALSE,Stockable Product,Make to Stock,Buy,30,Standard Price,0,0,สมุดปกแข็งสันห่วง,เล่ม,เล่ม,โหล,14.85*21,,,,1*6,,Real Time (automated),,,
product_N-HVDW-A51007-1,สมุดปกแข็งสันห่วง ขนาด A5 70g 100 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-HVDW-A51007,TRUE,,8857121670337,TRUE,FALSE,Stockable Product,Make to Stock,Buy,25.5,Standard Price,0,0,สมุดปกแข็งสันห่วง,เล่ม,เล่ม,เล่ม,14.85*21,70,100,,1*1,,Real Time (automated),,,
product_N-NV-8307,สมุดปกอ่อนไสกาว 70แกรม 8/30แผ่น เคลือบUV+อัดลาย NV-8307,,,,,N-NV-8307,TRUE,,8851419008208,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.1666666667,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,โหล,18.5*26,,,,,,Real Time (automated),,,
product_N-NV-8307-1,สมุดปกอ่อนไสกาว 70g 8/30 แผ่น เคลือบยูวี+อัดลาย,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-NV-8307,TRUE,,8857121670054,TRUE,FALSE,Stockable Product,Make to Stock,Buy,7.6,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,18.5*26,70,30,,1*1,,Real Time (automated),,,
product_N-NV-9407,สมุดปกอ่อนสันกาวตัด9 70แกรม 9/40แผ่น NV-9407,,,,,N-NV-9407,TRUE,,8851419007324,TRUE,FALSE,Stockable Product,Make to Stock,Buy,8.75,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,โหล,16.5*24,,,,1*12,,Real Time (automated),,,
product_N-NV-9407-1,สมุดปกอ่อนสันกาว 70g 9/40 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-NV-9407,TRUE,,8857121670047,TRUE,FALSE,Stockable Product,Make to Stock,Buy,6.45,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,16.5*24,70,40,,1*1,,Real Time (automated),,,
product_N-PBF-8407,สมุดปกอ่อนไสกาว 70แกรม 8/40แผ่น เคลือบโฮโลแกรม PBF-8407,,,,,N-PBF-8407,TRUE,,8851419008390,TRUE,FALSE,Stockable Product,Make to Stock,Buy,12.9166666667,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,โหล,18.5*26,,,,,,Real Time (automated),,,
product_N-PBF-8407-1,สมุดปกอ่อนไสกาว 70g 8/40 แผ่น เคลือบโฮโลแกรม,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PBF-8407,TRUE,,8857121670078,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.35,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,18.5*26,70,40,,1*1,,Real Time (automated),,,
product_N-PPN-16607,สมุดปกพีพีริมห่วง 70แกรม 16/60แผ่น PPN-16607,,,,,N-PPN-16607,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,15.8333333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,13*18.5,,,,1*12,,Real Time (automated),,,
product_N-PPN-16607-1,สมุดปกพีพีริมห่วง 70g 16/60 ลายการ์ตูน,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPN-16607,TRUE,,8857121670108,TRUE,FALSE,Stockable Product,Make to Stock,Buy,11.5,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,13*18.5,70,60,,1*1,,Real Time (automated),,,
product_N-PPT-32307,สมุดปกพีพีเย็บลวด 70แกรม 32/30แผ่น PPT-32307,,,,,N-PPT-32307,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3.0833333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,8.5*12.5,,,,1*12,,Real Time (automated),,,
product_N-PPT-32307-1,สมุดปกพีพีเย็บลวด ตัด 32/30 แผ่นรวมปก70g PPT-32307,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPT-32307,TRUE,,8859070300129,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2.65,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,,70,30,,1*1,,Real Time (automated),,,
product_N-PPT-8307,สมุดปกพีพีเย็บลวด 70แกรม 8/30แผ่น PPT-8307,,,,,N-PPT-8307,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.1666666667,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,18.5*26,,,,1*12,,Real Time (automated),,,
product_N-PPT-8307-1,สมุดปกพีพีอ่อนเย็บลวด 70g 8/30 PPT-8307,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPT-8307,TRUE,,8857121670092,TRUE,FALSE,Stockable Product,Make to Stock,Buy,7.15,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,18.5*26,70,30,,1*1,,Real Time (automated),,,
product_N-PPW-8607,สมุดปกพีพีขาวทึบริมห่วง 70แกรม 8/60แผ่น PPW-8607,,,,,N-PPW-8607,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,23.3333333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,18.5*25.5,,,,1*12,,Real Time (automated),,,
product_N-PPW-8607-1,สมุดปกพีพีขาวทึบริมห่วง 70g 8/60,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-8607,TRUE,,8857121670283,TRUE,FALSE,Stockable Product,Make to Stock,Buy,19,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,18.5*25.5,70,60,,1*1,,Real Time (automated),,,
product_N-PPW-A51007,สมุดปกพีพีริมห่วง 70แกรม A5/100แผ่น PPW-A51007,,,,,N-PPW-A51007,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,27.9166666667,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,14.85*21,,,,1*6,,Real Time (automated),,,
product_N-PPW-A51007-1,สมุดริมห่วงปกพีพี 70g PPW-A51007,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-A51007,TRUE,,8857121670122,TRUE,FALSE,Stockable Product,Make to Stock,Buy,20.35,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,14.85*21,70,100,,1*1,,Real Time (automated),,,
product_N-PPW-A6407,สมุดปกพีพีขาวทึบสันห่วง 70แกรม A6/40แผ่น PPW-A6407,,,,,N-PPW-A6407,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,10.8333333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,10.5*14.8,,,,1*12,,Real Time (automated),,,
product_N-PPW-A6407-1,สมุดปกพีพีขาวทึบ สันห่วง 70g A6/40,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-A6407,TRUE,,8857121670269,TRUE,FALSE,Stockable Product,Make to Stock,Buy,8.35,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,10.5*14.8,70,40,,1*1,,Real Time (automated),,,
product_N-PPW-A7607,สมุดปกพีพีขาวทึบสันห่วง 70แกรม A7/60แผ่น PPW-A7607,,,,,N-PPW-A7607,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.1666666667,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,7.4*10.5,,,,1*12,,Real Time (automated),,,
product_N-PPW-A7607-1,สมุดปกพีพีขาวทึบ สันห่วง 70g A7/60,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-A7607,TRUE,,8857121670276,TRUE,FALSE,Stockable Product,Make to Stock,Buy,6.75,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,7.4*10.5,70,60,,1*1,,Real Time (automated),,,
product_N-PV-A4506,สมุดฉีกรายงาน 60แกรม A4 50แผ่น PV-A4506,,,,,N-PV-A4506,TRUE,,8851419007348,TRUE,FALSE,Stockable Product,Make to Stock,Buy,14.4166666667,Standard Price,0,0,สมุดฉีกรายงาน,เล่ม,เล่ม,โหล,21*29.7,,,,1*12,,Real Time (automated),,,
product_N-PV-A4506-1,สมุดฉีกรายงาน A4 60g 50 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PV-A4506,TRUE,,8857121670177,TRUE,FALSE,Stockable Product,Make to Stock,Buy,10.75,Standard Price,0,0,สมุดฉีกรายงาน,เล่ม,เล่ม,เล่ม,21*29.7,60,50,,1*1,,Real Time (automated),,,
